pre,post,width
0,77,4
0,29,3
0,18,4
0,54,5
0,2,5
1,56,4
1,28,3
1,39,5
2,77,6
2,19,6
2,54,4
2,72,4
2,40,5
3,70,5
3,62,3
3,16,5
4,79,3
4,9,5
4,68,6
5,47,3
5,66,5
5,63,6
5,18,3
6,82,5
6,10,5
7,54,3
7,69,5
8,82,4
8,67,3
8,6,3
8,72,3
9,84,5
9,20,5
9,85,6
10,80,4
10,74,4
10,31,4
11,29,3
11,69,4
11,86,3
12,30,6
12,59,6
13,79,3
13,20,5
13,43,3
14,81,4
14,65,6
15,28,5
15,52,3
15,48,4
15,1,5
16,55,3
16,17,5
17,55,5
17,25,6
17,42,4
18,47,3
19,40,4
19,77,4
20,84,5
21,76,6
21,71,3
21,58,5
21,13,5
22,60,3
22,26,3
22,33,5
22,36,3
22,41,6
23,68,6
23,27,6
24,34,5
25,87,3
25,78,6
25,16,4
25,24,6
26,50,3
26,33,6
26,38,6
27,68,5
29,86,6
30,86,5
30,36,4
30,29,3
30,18,5
31,80,4
31,51,6
31,63,6
32,45,6
32,83,5
33,36,6
33,41,4
33,50,4
34,38,4
34,26,3
35,48,3
35,75,4
35,52,4
35,44,3
36,12,5
36,50,4
36,86,4
37,85,3
37,57,5
38,50,5
39,28,3
39,57,5
40,45,5
40,83,4
40,32,6
40,72,3
41,73,4
41,86,6
42,59,4
42,5,5
42,12,5
42,66,6
43,79,5
44,75,6
44,78,4
44,49,5
46,63,4
46,51,5
47,74,5
47,80,5
47,10,5
48,52,3
48,75,3
48,56,6
49,70,6
49,56,5
49,52,5
50,59,3
50,12,5
51,81,4
52,75,5
52,56,4
53,82,4
53,71,4
54,69,3
55,66,6
55,42,5
55,46,4
57,88,5
58,67,6
58,8,5
59,38,6
60,26,4
60,33,3
61,45,5
61,32,4
61,7,5
62,64,3
62,46,5
63,66,3
63,80,6
64,88,4
64,57,4
64,1,4
64,3,5
65,53,3
67,89,6
68,85,4
69,29,6
69,0,5
70,56,3
70,78,5
71,76,4
71,13,4
71,82,5
72,19,6
73,11,6
74,6,4
74,80,4
75,49,4
77,54,4
77,18,4
78,16,3
81,65,3
81,88,5
81,31,4
82,76,3
82,58,3
83,89,5
83,67,4
83,45,3
84,4,6
85,23,5
87,24,4
87,78,3
87,34,6
88,23,6
88,14,5
89,40,5
