pre,post,width
0,94,4
0,21,3
0,93,6
1,62,3
1,87,3
1,36,5
1,86,3
2,90,6
2,43,6
3,97,6
3,80,5
4,97,6
4,14,3
4,60,6
5,7,4
5,70,5
5,82,3
5,67,3
6,55,6
6,21,4
6,91,4
7,19,4
8,54,6
8,28,6
8,41,4
9,59,6
9,24,3
9,27,4
9,76,5
9,78,6
10,8,5
10,39,6
10,64,5
10,44,5
11,47,3
11,24,5
12,34,6
12,78,3
12,47,5
12,89,6
13,60,6
13,97,3
13,33,5
13,4,5
14,86,5
14,60,6
15,58,5
15,91,4
16,84,6
16,71,5
16,57,4
16,70,3
17,42,5
17,67,5
18,31,5
18,80,3
18,63,6
19,74,3
19,33,4
20,66,5
20,77,5
20,26,5
20,30,6
21,29,3
21,27,6
22,65,6
22,75,6
22,95,4
22,96,3
23,67,3
24,47,3
24,78,5
25,77,4
25,40,3
26,66,6
26,83,3
26,46,6
27,59,6
27,29,3
27,78,6
28,41,3
28,64,3
29,78,6
30,23,3
30,56,5
31,63,3
32,45,6
33,60,4
33,7,3
34,39,4
35,83,4
35,46,4
36,87,4
36,62,6
36,86,5
36,85,5
37,82,3
37,74,5
38,74,5
38,61,6
38,45,4
38,98,3
38,19,6
39,54,6
39,44,3
40,72,4
40,58,3
41,54,3
42,55,4
42,93,4
42,73,5
43,30,3
43,66,6
43,90,5
43,46,5
44,34,4
45,64,4
45,81,4
46,83,3
46,90,6
48,96,5
48,50,3
48,79,3
49,31,6
49,80,5
50,63,3
51,96,5
51,95,6
52,56,3
52,95,5
53,37,3
53,82,4
54,89,6
56,57,6
57,30,4
58,73,3
60,97,4
61,45,3
61,98,3
61,32,4
62,98,3
62,87,5
62,85,3
62,81,3
63,92,4
64,32,4
65,69,3
65,95,3
65,96,5
65,51,4
66,77,3
67,70,5
67,42,4
68,76,6
68,15,5
68,40,6
68,91,4
69,95,4
69,22,3
70,84,3
71,84,5
71,92,3
72,26,3
72,25,6
74,61,5
75,88,3
75,79,6
76,91,3
76,15,3
76,59,3
78,47,4
79,88,6
80,97,5
81,98,3
81,85,4
81,61,6
81,32,4
82,94,6
84,57,6
85,87,5
85,98,6
86,4,4
89,34,5
89,39,3
93,94,5
93,55,4
94,53,6
96,50,4
