x,y,size
3.437536949869254,6.755800418981904,11
1.257854325864961,1.0481702986832653,13
9.54584347301154,5.448768184729643,10
5.171937675442385,0.8412694253080166,13
3.603994454252095,0.9050496304924316,10
4.579159730076428,4.732039990440548,12
4.143078927627783,8.036884126776545,10
4.365030391228038,3.8832444901482988,11
0.7220900279547726,6.041200227492581,12
3.1950309050893786,9.968670387041035,11
1.6137805602723865,5.915753109849769,12
0.4946885103975318,9.864107781149094,13
1.3986701108973854,8.296017252187518,13
4.296757631760659,1.6751849649184014,12
2.786583586888689,0.5760999829049263,11
5.376435190459122,8.842112583168012,11
6.619455008492215,3.9801908406402897,11
5.95121841601607,6.680792925150737,11
5.976685318149698,1.1441556597676505,11
3.5414827860874345,3.608744393296428,10
7.270249833501365,7.137647056291785,10
3.3667253207725825,7.549691952742731,10
9.780199573418907,1.984479513596834,11
6.488382910245239,5.7305093367449516,12
2.0527124768394653,9.406265262803776,13
6.836481361743894,8.604750456163131,11
8.112071606295402,7.92864926623127,11
3.1382843582931077,8.568016560657927,13
0.8745446332485096,5.312660888510344,11
2.6195376967313813,8.000507782409999,10
7.574174381500857,5.812198588280538,13
6.901362902159397,1.1516422086292744,13
0.5183296832634754,3.7965753963403492,10
4.029736548442272,2.4681980116680826,12
1.2549960287769912,7.553527595136558,11
9.909194215393534,8.537183569174854,11
0.4123008643173509,0.4520150930247835,11
3.0814854470101336,5.0112832341705795,12
2.12307648577342,3.580279302004823,12
1.2572514411775082,6.832261307699606,13
7.04296483466826,9.776306723316033,13
0.16481160946779094,5.414798314007392,11
5.0875285812640305,6.9201222575248735,13
8.674096318720625,6.198400594144004,12
2.1909281380391468,6.911700595720833,13
1.1891196436269547,3.960469908406914,11
9.257205597471755,7.505717117103643,11
1.293771284977715,9.404965892056214,12
7.82819682159415,2.0446617654284682,10
7.084142104850411,0.07218694100288414,11
7.1770311531512405,2.396045222136165,10
8.013942175953076,3.3947047313184884,11
8.86098001559894,4.371169199564854,11
2.910430498471098,5.845822257820846,11
0.44550619874696884,6.725179130380167,11
4.442597288166602,7.251611001993199,11
7.935200730813202,4.684172798115421,11
7.2700330607472505,4.7612200139453,11
5.956280229252897,8.391011113086645,12
3.4413115607561293,9.232701536355282,13
3.595679957745718,1.8540979284866632,12
1.3189696374451643,3.296343230885003,13
1.0879282502973808,1.812027584330187,10
6.680219558849785,1.9333540482971867,12
1.4378443429017118,4.831023656337136,13
9.560128672834413,2.8166054834929777,11
7.971984168198018,7.168170192385979,11
5.507771073608053,5.82022803506895,10
5.680408250312109,9.905813548313562,11
9.715681639531072,3.533798680354836,12
5.653286577502481,4.871160105687529,13
5.893383057671096,3.474586305070967,12
8.343398512213302,9.5610356595751,11
5.374172567475237,7.9731794095102995,11
2.7624791420369244,3.883006775898241,11
9.225807742652849,0.794978539073784,10
4.69704762548962,9.58908731359357,11
6.881157522592566,7.774360816514675,13
2.170412056477745,8.579739685065707,12
8.044587524095357,1.1732584157403902,13
5.622366799692679,0.24218741385989895,12
0.6823264579557964,2.733370547301064,12
3.6458543636714347,5.377953116537865,12
8.919244009426171,8.461727938194642,10
5.994129694251646,4.228295668901704,11
0.17124394208051896,2.1043223316353155,12
1.9457973738163625,0.22292978531770258,10
0.354834149999641,1.2807603444059246,11
8.596811337867138,0.4715653277657583,10
0.4844708159597866,7.573072908995924,13
9.900475714009092,6.434205808491914,13
4.6347063208569885,8.87659870781487,13
5.986489541314648,2.640381803545102,12
4.328076293850031,6.567292328423674,12
3.8021339428398147,6.125195478851015,10
8.994121591990424,3.3818744226025457,11
8.192758816359266,2.6882038166331435,11
4.4526887220542735,0.9519747145270141,11
1.3000553521988223,2.4680303607165843,11
