node1,node2,length
1,23,7.936930914297943
1,95,0.728418532027198
1,96,6.500693002603746
2,38,4.362555971610688
2,64,5.494141879353238
2,88,0.9324931996476448
2,89,7.361573426686899
3,45,7.498996654469222
3,92,5.989097613352738
4,82,4.872027867328835
4,99,4.199740928440388
5,16,8.132558913288074
5,62,3.3075101657745534
5,99,2.7840697097993194
6,9,4.073191281207277
6,69,5.289676845655816
6,72,1.8188932694480844
6,84,5.722491043197964
7,23,8.270957065348822
7,57,5.061705347363365
7,93,5.702666044517753
8,21,4.362503417796283
9,30,2.727488542689457
9,43,4.453039152937567
9,56,3.912450449055696
10,26,3.8885008687301807
10,29,5.202218852394616
10,61,8.124457264859208
10,78,4.289816305107838
10,80,10.043777732797723
11,41,6.661825281992532
11,46,2.0008671350119074
11,66,8.529312066982365
12,26,6.465625835244692
12,49,10.72026492877667
13,36,8.513940434702326
13,49,8.967622825776942
13,80,9.741761221936907
13,91,8.703277564514275
14,35,6.61870272240912
14,62,3.390483072130185
14,99,3.099811022299502
15,62,3.0908921095344652
15,88,2.531788211695623
16,60,1.9741487260555657
16,93,6.2316635799696325
17,59,4.460396424494448
17,72,0.8847691360787037
17,73,5.841045291474262
17,86,6.7155274267976015
18,44,2.7652787262861707
18,69,3.2363708325335874
19,33,6.06868821870547
19,65,5.847569839062923
19,82,5.527733685632071
20,35,4.559532454197041
20,76,6.342620002350895
21,28,4.372538805697857
21,32,5.9973603863995
21,68,2.2004372875759945
21,79,5.299809100516858
22,29,3.348921104118257
22,31,4.552088618444658
23,67,5.490017486770294
23,77,9.147048350014803
23,97,1.736431988837464
23,98,5.426641505711442
24,69,4.252762432847222
25,49,9.356784996411687
25,80,10.182581613997524
26,42,7.395064026273192
26,79,4.6661363353654615
27,48,6.976297732419971
27,68,3.3507941375995696
27,85,4.2636011408270145
28,31,5.222226823384089
28,61,6.729480970610963
28,80,8.87435962628208
29,43,4.5092311760554615
29,66,9.03712690480917
30,80,8.720235062432232
31,58,1.0941014151811876
32,65,6.58694791880807
33,47,9.4934548268076
34,62,2.8344455806856903
35,41,6.200107253156249
36,48,8.659016019724184
36,85,5.8218764279074415
37,64,6.440587695364198
37,87,1.5505133417203798
37,88,0.8307352857205862
37,89,8.184533823213426
38,76,7.45184015895587
38,84,6.781223612932216
39,47,8.14277963735907
39,63,2.0489621779009144
39,76,7.62933100916694
40,46,2.872599481808933
40,56,3.212830890513038
41,60,3.6424460057456725
41,74,2.4568548473272713
42,56,4.655462508024986
43,57,3.6205947931729967
43,75,3.8249085405518466
43,95,1.5113397897039964
44,48,8.046816675771053
44,68,3.1888289452829808
44,92,4.846588149503831
46,66,8.448799795808661
46,83,2.8363363922506157
47,85,4.624841153954353
47,92,4.821495193200445
49,52,1.3627609278281523
49,81,2.8486136757349843
49,98,3.5479599661308225
50,82,6.932902838151916
51,65,6.234371276878365
52,97,0.728779070320619
52,98,4.318501603315695
53,58,1.6380634453374256
53,97,1.8107711206167902
54,84,6.553533576479801
55,91,9.45944575588796
57,59,4.201996744981413
59,75,5.5247143354938615
61,99,2.3763007724057332
63,83,4.388486174380809
63,87,1.805871326510709
63,89,7.6275922992819245
64,94,5.196726077359219
66,71,4.414137498247941
66,97,1.373385347398627
66,98,5.43716753056218
67,79,5.970826358231709
68,72,2.377126779909091
69,78,2.4464033933051565
69,93,7.271876249950287
70,97,1.741931284204429
71,86,6.140698879159145
72,86,5.8839187124795815
72,94,3.466268283290561
76,81,3.645595240494603
76,90,11.061353197214972
77,93,7.067331088866889
80,90,9.905200158942483
81,99,4.861764399187613
82,87,2.810457538311714
83,96,5.708615637603693
86,89,8.58231212288551
94,96,5.649678394300329
