node1,node2,length
1,52,4.903892094465338
1,80,3.111785837554097
2,39,3.8780073447396295
2,75,2.1143297216213672
3,17,5.665045963875462
3,26,9.110869869772298
3,84,6.5084889915011495
3,101,9.310214595902464
4,50,7.58465586836481
4,57,4.533031844580556
4,97,2.2669188627887245
5,39,3.4170379648564184
5,55,2.768087008533469
5,90,1.034765442806576
5,91,7.261064909223355
6,80,4.665408084640166
7,40,6.1451944652861865
7,78,7.927004868910819
8,15,13.217046637860424
8,32,3.4266934517997196
8,37,10.795745879187026
8,69,3.114389890319734
8,86,8.254491447324535
9,13,7.34726437343996
9,28,4.572980110432761
9,89,5.556441209840679
9,100,2.569226582765951
10,77,6.876843355079377
10,88,6.746572070398301
10,102,1.2220148408892906
11,75,2.487420472352752
11,85,5.799174834584616
12,28,5.403306191784944
12,44,7.219084755335966
12,95,5.750605455786841
13,16,8.853001594120405
13,45,3.930019185159137
13,79,4.547166380842217
13,92,10.024675103365444
13,104,1.5778425160545717
14,37,10.29931669797868
15,45,4.991639084223632
16,23,9.063265011081803
16,26,9.109677756228534
16,100,1.3830466094136433
17,33,3.596380575715473
17,55,4.097409842806237
17,90,2.154390799905235
18,45,4.466202079764476
18,105,7.072149930081733
19,35,5.519656727317037
19,78,7.073607466932157
19,81,6.34261879686425
21,85,7.319045973333056
21,87,3.033419498919251
22,44,8.427084517667842
22,100,2.2511941824164436
23,27,7.930078562203594
23,59,4.602992306201791
23,82,4.284413442438038
23,94,8.58342018431893
23,108,9.432636517317825
24,52,5.521184721107537
24,56,3.991311270174717
24,65,1.7943246648825437
25,100,0.9282020881128905
25,106,6.1846341932384465
26,59,5.288291683096826
26,102,2.1896638092242924
27,89,5.885353473612766
27,95,5.175892244635608
28,56,5.198579269122603
28,65,1.7136167065529273
28,75,3.325715921537263
28,91,5.701302482006497
29,50,9.121202397819047
29,95,6.821163203308488
30,49,10.189342933318237
30,54,5.913644569774448
30,94,10.327726519545847
31,37,8.776454203395547
31,40,7.565837764670914
31,68,1.6796154464246942
32,55,4.25952848783161
32,70,8.84889908879716
32,93,6.693603670891
33,61,6.602360588223961
33,74,1.9399258300795492
33,85,6.438480249659704
33,87,4.340689777305983
34,101,8.007425078174178
34,106,5.989313180433193
35,43,1.3773281761784717
35,44,8.302457179841742
35,53,12.25581625069434
36,40,8.024014092379335
36,69,1.6202827348970466
37,73,5.554726627958259
38,51,4.209548344741884
40,42,6.484660487016051
40,63,1.857275205851287
40,72,1.0260088290556344
40,73,5.7339060638576465
41,63,1.7599942248620055
41,80,3.7852609496835705
42,53,13.06260323351808
44,92,10.850637734933532
44,99,7.948765305438121
44,105,7.672384889321375
45,56,3.6927046223651985
45,58,2.2835556858240995
45,63,2.7692731614354518
45,66,2.988052281478416
46,61,8.564201730428742
46,83,7.6069572621013695
47,106,4.977937691252527
48,54,5.072873015207525
48,61,8.090039348173509
48,74,3.8057803195005837
49,57,5.406927934198326
49,71,2.3540706680896513
50,60,1.129986813660786
50,76,5.643130201491689
51,67,4.581210273774687
53,74,4.74588808742849
54,70,8.170412803451404
54,90,1.5582523428238273
54,96,5.5272531270154
55,66,2.992316937587937
56,64,4.790286255356907
56,71,1.143918942138161
56,72,2.485152655968218
56,98,5.093173596813407
57,66,4.210746874362957
57,103,1.5909777179833338
57,107,2.2134378756012385
58,108,7.913317330551899
59,61,8.903521120215354
59,76,6.546735157509181
59,83,6.72588807728254
60,83,6.916893980777686
61,72,0.9132283618446092
61,73,7.069945724157742
63,97,2.1818985984935204
66,89,4.294727715956055
67,84,6.620518545333213
68,86,6.432746510709784
69,78,8.187678304137327
69,93,7.177892203090654
70,98,4.98916946586955
73,82,2.4892358376987995
76,79,4.229250842128862
76,88,6.518245357095057
76,103,1.1987046075621297
76,104,2.9305727318134878
77,81,5.937941859508227
77,96,4.816029738506618
78,104,2.098053463430564
79,97,2.9138469392252335
80,96,3.945015884783578
81,94,8.72954769951557
81,108,9.49624199021736
83,101,8.884278190979366
85,93,8.813134089432253
87,102,1.672527626790605
88,100,2.2695427886169033
90,96,4.403617355212517
91,105,6.918418440439914
98,105,8.626167400920345
102,104,2.9012705160809156
102,107,2.3442142940480704
