node1,node2,length
1,35,2.6006459588947606
1,38,3.776675822122881
1,41,3.881691217302371
1,52,5.129667006428017
1,54,6.447951655684528
2,10,8.905589651921684
2,13,4.262720911144291
3,8,9.840681312832942
3,10,9.121778031779881
3,45,4.150903896086321
4,23,3.0071746367955607
4,37,4.279152850674591
4,53,4.71946214042389
5,19,7.067789077994228
5,46,5.809596656959073
6,22,7.379482023673087
6,29,4.53757717667044
7,34,6.650787089923233
7,44,1.6645028999437268
7,45,2.95048761748119
8,31,6.7693171848567575
8,48,3.151501567837387
9,13,3.5091307898335153
9,34,6.267734849894277
9,45,5.4758967192085874
10,23,3.0845014681966902
10,31,6.71171129386957
10,48,1.1365326999148648
10,49,8.02840044706831
11,16,6.766593790102733
11,18,6.649003081565042
11,30,4.297877311961341
11,41,6.501124172543443
11,49,6.394434642115773
12,15,8.206930149660959
12,32,4.260501953221703
13,33,1.8980732571408572
13,39,4.6143303443808135
14,21,6.124130850663569
14,32,3.124137953693229
14,39,3.178720289649555
15,49,6.881998784095606
16,24,8.701765992793215
16,26,5.541572504386664
16,31,7.679515898685968
16,48,4.803887865520912
17,30,6.405478939603673
17,41,7.100871641050599
18,29,6.327301437184261
19,22,6.981099719512835
19,30,6.90304869655846
19,47,6.961109985325242
20,37,4.45630780058405
20,39,2.3236176518177847
21,29,3.3596547586782717
21,38,4.975859973964517
21,47,7.160241941962153
21,54,7.799283730518283
22,24,6.28356391357432
22,31,4.810702117622685
22,53,5.194248851622997
23,26,4.383993809095142
23,31,5.732998014106576
23,53,7.206446684665191
24,28,7.923323947552234
24,43,7.740615697821854
24,51,6.6283063937031725
25,37,6.848452656866559
25,40,7.313224703918794
25,53,7.2910092067332
26,35,2.059751988463998
26,36,4.31828001774618
26,49,5.945039082355906
27,43,8.810630579853433
28,38,4.446295730021595
28,50,8.610581518353404
29,41,6.4704643049517445
31,43,6.870926858091691
32,38,2.169941770550032
32,52,4.811614583771396
33,42,3.8488300591231486
33,45,4.22704611774459
34,36,3.9612247476656948
34,52,3.515033164155969
35,39,4.280376704221097
35,52,3.0370511701665
37,52,5.4988198757724795
41,45,3.153357851254872
43,46,6.92923661740543
45,50,9.089061159542585
46,54,8.755315443801722
