node1,node2,length
1,28,6.365867355998675
1,32,6.898889098000894
1,36,7.737756989098785
2,10,5.569461523000765
2,23,5.412915990673771
2,28,8.35968562000578
2,32,8.531561905879888
2,39,3.8767714384049126
3,11,2.6494958021566015
3,18,5.888391153311117
4,29,7.394156765884714
4,33,7.147194453222503
4,37,7.735794258468811
5,9,7.6023995038097105
5,33,4.873324859082673
5,41,2.2241431466470987
6,33,6.615584088921829
6,37,6.94600091467992
7,31,4.881165190048105
7,36,5.589953186474251
7,38,5.940545741927695
8,15,3.006921687037048
8,35,6.312545928969213
8,41,3.5057281380250576
9,19,9.34215945633098
9,23,4.038774155689006
9,39,5.950002665704813
10,18,5.460202039188294
10,21,6.361043676114604
10,36,4.749582336348723
11,17,2.947304225089897
11,21,4.002500898000237
12,15,1.3195202582131098
12,16,3.6476053710112892
12,24,1.8026728788976545
13,16,3.841661494290467
13,19,8.298151770886042
13,22,2.8901051518331795
15,19,8.798048860512681
15,22,3.925173070238692
15,24,1.9802602994988083
16,21,4.976431789156187
16,42,6.399353069621523
17,29,7.6347536781384955
17,42,5.602267764049881
18,22,2.40395722148734
19,36,7.378829201332308
19,38,6.954693339658441
19,43,3.1541829764155507
20,42,5.834074518555188
20,45,5.8175717299534275
22,28,8.090154903363647
22,39,4.385433618046525
24,30,9.164659153744365
25,37,5.85345033214044
26,40,9.2978825431423
26,43,5.0435559345460845
27,32,8.052740438695416
27,39,2.926454469023449
28,33,5.345147334996888
28,37,5.749407912753415
29,35,8.716009341812688
30,38,5.4857605064234365
32,37,6.744263012678814
33,45,8.009767748216463
34,41,4.6826352740526564
37,43,2.311481685132533
