pre,post,width
0,30,6
0,26,3
0,34,5
1,37,5
1,26,5
1,21,5
1,30,6
1,8,6
2,16,4
2,9,3
3,44,4
3,35,5
3,31,3
3,27,6
4,31,5
4,39,4
4,7,3
5,3,4
5,35,3
5,31,4
6,36,4
6,29,4
6,34,5
7,13,3
7,33,5
7,39,3
8,17,6
8,21,6
8,37,4
9,34,6
9,16,4
9,6,6
9,19,5
10,19,4
10,15,6
11,22,5
11,13,6
11,14,3
12,17,3
12,14,4
12,20,6
14,22,5
14,20,6
14,17,6
15,19,3
15,40,4
16,40,5
16,27,4
16,15,5
17,20,3
18,36,5
18,41,6
18,6,6
18,34,3
19,43,3
19,40,3
21,37,4
21,26,5
22,13,6
22,12,4
23,20,3
23,28,6
23,11,6
23,14,4
23,22,4
24,35,6
24,5,5
25,38,5
25,0,6
25,41,4
26,30,3
26,37,6
27,31,4
27,5,4
27,35,6
28,11,6
28,33,4
28,13,6
29,36,4
31,35,6
32,43,6
32,12,3
33,39,6
33,13,3
33,11,3
34,29,4
35,44,5
36,41,5
37,30,4
38,0,4
38,34,6
39,31,5
40,2,5
41,29,4
42,6,5
42,36,4
