pre,post,width
0,78,3
0,50,3
1,73,3
1,37,6
2,99,4
2,15,3
2,24,6
2,82,6
3,95,6
3,55,6
3,48,6
4,88,3
4,37,3
4,1,5
4,89,6
4,53,4
5,78,4
6,76,6
6,38,6
7,13,4
7,84,5
7,35,6
7,67,4
7,30,4
8,87,3
8,26,4
8,98,4
8,11,6
9,100,5
9,75,6
9,86,4
10,83,4
10,73,6
11,93,4
11,42,6
11,26,6
12,90,3
12,77,3
12,14,6
12,43,5
12,102,3
13,35,3
14,43,4
15,24,6
15,21,3
15,98,6
16,31,3
16,53,3
16,88,6
16,4,6
17,103,5
17,43,4
18,79,4
18,6,5
18,33,5
18,76,5
20,83,4
20,85,5
21,42,3
21,98,4
22,25,4
22,106,6
22,80,6
22,92,5
22,57,6
23,50,4
23,63,3
23,54,5
23,0,6
24,98,3
24,104,4
25,100,4
25,9,5
25,57,5
26,93,5
26,87,6
26,3,5
27,73,5
27,89,3
27,54,4
27,63,4
28,93,3
28,107,4
28,11,4
28,48,3
29,47,5
29,52,3
29,92,5
30,38,6
30,35,6
30,66,5
30,6,6
30,13,5
31,68,4
31,53,3
31,91,3
32,85,4
32,10,3
32,59,3
32,72,6
32,83,6
33,99,3
33,104,4
34,107,3
34,41,6
34,51,6
34,42,6
35,67,3
35,38,5
36,71,6
37,49,4
39,71,4
39,61,5
39,40,4
39,70,5
40,78,6
40,61,4
40,0,4
41,51,5
41,28,4
42,107,6
42,8,6
43,103,3
43,90,6
43,97,3
44,61,3
44,64,6
44,54,3
44,56,4
45,81,3
45,59,6
46,104,6
46,18,5
47,52,5
47,72,4
47,45,6
47,59,6
48,69,4
48,55,6
49,74,6
49,58,6
50,65,3
51,42,4
51,21,5
51,107,3
52,45,6
52,72,5
53,88,6
53,94,6
53,68,6
54,64,4
55,69,5
55,96,3
55,70,4
55,62,6
56,105,4
56,101,5
56,64,3
57,20,6
57,106,5
58,81,5
58,74,3
58,45,4
58,59,5
59,49,5
59,81,5
60,71,5
60,70,4
60,17,3
62,5,6
62,95,5
65,87,3
66,82,6
67,84,6
68,76,4
68,91,6
69,96,5
72,80,5
75,86,3
75,77,3
75,101,6
75,102,4
76,79,3
76,94,4
76,53,4
77,102,3
78,95,6
79,94,3
80,106,5
80,92,4
82,99,5
84,91,4
84,35,6
86,100,3
86,77,6
87,98,5
89,1,3
89,88,5
89,94,5
90,103,6
91,67,5
94,88,5
95,5,3
96,70,6
96,60,5
97,14,5
97,17,4
97,103,3
97,90,5
99,24,4
100,75,3
100,22,3
101,105,5
101,102,4
102,36,3
105,102,4
105,36,6
106,85,5
107,11,4
