pre,post,width
0,18,6
0,72,4
0,1,4
2,71,4
2,61,6
2,63,5
3,76,3
3,26,4
3,7,4
3,25,3
3,8,3
4,70,5
4,64,4
4,29,6
4,69,4
5,40,5
5,52,3
5,53,6
5,80,3
5,20,6
6,31,4
6,44,6
6,62,4
7,76,3
8,26,5
8,54,4
8,71,5
8,24,6
9,67,6
9,38,3
9,29,3
10,77,4
10,13,3
10,51,6
10,52,4
11,55,5
11,49,4
11,44,5
11,68,4
11,19,4
12,38,4
12,33,3
13,52,4
13,77,4
13,51,4
13,5,3
14,23,5
14,39,6
14,32,3
15,78,6
16,56,6
16,45,5
16,30,4
17,55,4
17,68,5
17,50,3
17,11,3
17,42,5
18,72,5
18,41,4
19,49,6
19,68,3
20,53,4
20,40,3
20,80,6
21,57,5
21,36,3
21,48,5
21,43,4
22,34,5
22,37,5
23,39,4
24,71,5
24,54,5
25,75,6
25,76,6
25,15,6
26,7,5
26,71,5
27,72,6
27,60,6
28,74,5
28,23,4
29,38,3
30,51,3
31,36,4
31,62,3
32,34,4
32,39,3
33,43,6
34,41,6
35,56,6
35,47,4
35,63,5
36,57,3
37,41,6
38,4,6
40,53,3
40,80,5
40,52,5
42,50,3
42,19,3
42,8,4
42,68,3
43,57,5
43,12,4
44,31,4
45,30,6
45,75,5
45,25,5
45,47,4
46,27,3
46,72,6
46,75,6
47,7,4
47,63,3
47,16,4
48,66,4
48,59,5
48,43,5
49,69,3
49,64,4
49,62,5
50,68,6
51,77,4
51,79,4
54,42,3
55,68,6
57,33,5
58,22,6
58,9,5
59,28,5
59,66,6
59,74,4
60,80,6
60,18,6
60,51,6
61,63,6
61,35,4
61,7,6
62,36,4
62,33,4
63,7,3
64,69,3
64,70,5
65,44,5
65,6,3
65,11,6
66,73,6
66,28,5
67,0,5
67,37,6
67,1,5
69,70,6
73,28,3
74,58,4
74,14,5
75,15,5
75,27,5
77,79,5
77,30,4
78,70,6
78,29,3
79,10,4
