pre,post,width
0,10,6
1,18,4
1,13,6
2,23,6
2,8,6
2,17,4
3,11,4
3,4,6
3,26,4
4,25,5
4,11,6
4,8,6
5,24,3
5,19,4
5,7,6
5,11,6
5,10,6
6,21,5
6,26,3
6,15,6
6,14,5
7,19,3
7,10,3
7,23,5
7,24,4
8,20,5
8,9,5
8,16,4
9,20,5
9,16,5
9,2,3
9,17,5
10,19,5
10,12,4
11,19,4
11,24,3
11,25,3
12,0,5
12,7,4
13,18,6
14,15,5
14,24,4
14,5,3
15,24,6
15,11,5
16,20,6
17,8,4
17,23,5
18,22,4
18,24,5
19,23,3
20,25,6
20,4,6
21,26,4
22,1,3
22,13,4
22,10,4
23,4,5
23,8,5
24,19,6
26,25,5
