pre,post,width
0,53,4
0,34,3
1,18,6
1,6,5
1,19,4
1,55,3
2,44,4
2,25,4
3,23,4
3,2,4
3,25,6
3,17,5
4,37,6
4,49,4
5,33,4
5,15,3
5,58,3
5,46,3
6,55,4
6,27,3
7,8,3
8,16,5
8,10,4
8,52,6
9,14,4
9,58,3
9,36,4
9,33,6
9,46,6
10,16,5
10,50,6
10,13,4
10,57,4
11,37,3
11,35,3
11,31,4
12,42,6
12,17,5
12,24,6
13,24,6
13,25,5
14,58,3
14,33,6
14,36,6
14,5,3
15,33,5
15,47,6
16,52,6
17,23,4
18,21,4
18,43,4
19,18,6
19,43,5
19,30,4
20,62,3
20,42,4
20,50,3
21,43,6
21,39,6
21,45,3
21,19,5
22,51,5
22,35,3
22,40,4
25,57,5
26,62,4
26,54,3
26,47,6
27,28,3
27,60,5
27,7,4
27,8,4
28,60,6
28,7,6
29,38,6
29,41,6
29,17,6
29,54,4
30,61,5
30,59,6
30,45,4
31,35,3
31,37,5
31,22,6
31,4,5
32,61,6
32,45,5
32,30,5
34,60,5
34,48,5
34,28,6
35,40,5
36,40,4
36,51,6
36,59,5
36,33,6
37,35,4
38,17,5
38,12,3
39,43,3
39,45,3
40,59,5
41,38,3
41,17,4
41,23,6
42,62,6
44,56,6
44,57,5
44,25,6
44,48,6
45,43,4
46,58,4
46,33,4
46,14,4
48,0,4
48,53,4
48,56,6
49,50,3
50,13,3
50,42,3
51,40,3
51,31,3
52,55,4
52,4,5
52,49,5
52,37,4
53,34,5
54,47,3
54,38,5
55,7,5
56,57,6
57,2,5
58,33,5
59,35,6
59,61,5
61,45,3
62,49,4
