node1,node2,length
1,14,3.2234377130970153
1,26,7.645735294165451
1,65,7.0556309041502026
2,24,1.1289239979657526
2,25,3.8350027943512264
2,35,5.047061455070784
3,26,9.769698618947743
3,40,8.443021218725743
3,52,7.910127673239509
3,59,11.073959977730524
4,63,4.881023579792888
4,66,5.526202519046159
5,17,7.227460097269434
5,30,4.2320791640291775
5,47,5.343521770950807
5,60,9.214865944847137
5,66,6.4159974614775805
6,32,9.856918511966589
7,48,6.733304447300939
7,65,5.1906435755601175
7,70,6.465718044304912
8,49,7.826591641279104
8,51,9.123319479558136
8,64,5.750957819427408
9,12,6.212133460034555
9,15,4.358388021611799
9,28,2.9462552128244455
9,39,6.1515599056699175
10,19,3.182980006837391
10,22,3.3041323773707427
10,51,7.51034265152455
10,67,7.85762484377448
11,45,5.052780321994849
12,24,2.5920666047505008
12,40,8.651718150117924
13,24,1.205656392445013
13,25,2.0217630962338995
13,59,8.973031470196313
13,65,7.309545970581868
14,28,3.3695913573106857
14,37,3.8698754700740827
14,50,7.251583489564586
14,55,4.467968381630728
15,22,2.2143624036816365
15,57,2.1100574435320016
16,46,3.068721245268344
16,66,4.741306820793309
17,19,6.239630746861136
17,49,9.206558352196549
17,53,3.860279279416337
18,53,2.763029466721689
19,23,4.230697131442517
19,48,5.449897416113821
19,70,4.719345752973697
20,62,5.617813624201697
21,23,4.485170102211403
21,51,7.944496680464
21,58,6.106247527884232
22,46,3.2526364023627385
22,58,6.643604557043138
23,25,2.971202031611505
24,65,6.194397912662645
25,50,7.096830338833376
25,59,10.209651991884664
25,61,7.049018194632194
26,54,9.61181281822424
26,60,9.12765323228386
26,71,5.976753511235577
27,55,3.6847991438014804
27,68,2.632218576121727
28,62,4.0266002984398135
28,68,1.0118533895086173
28,69,5.278479497720082
29,33,3.6241396206397187
29,43,2.9223587756207086
29,60,9.862934079818672
30,34,4.083199289292395
30,48,6.612810168848742
31,53,4.004248566514104
31,67,9.064156912877772
32,43,3.1361015814568107
33,63,5.483925137806816
34,57,3.270214088174862
34,67,6.915249384044786
35,45,3.912877680376147
35,48,7.789289413184626
36,50,7.682160856826818
36,61,4.781323375288606
37,68,3.581450621722108
38,50,5.683562263235114
39,52,6.997561481879202
39,59,11.13655478245262
40,44,1.7642586575725527
40,56,5.258901358937555
40,63,6.8283153065207225
40,72,5.334777759694158
42,47,6.032702215599774
43,47,4.779245834101135
43,72,6.466020569754548
45,58,7.634507744654451
46,63,6.07769335588321
47,70,6.033409391870549
48,53,2.5442159371488846
48,64,6.770987435563858
49,61,5.261758705693084
51,59,12.23937247857205
53,71,6.381195960613459
55,69,4.891829221158066
55,72,4.402022015394867
56,70,5.2630255995365065
59,66,6.558043956032779
63,71,7.821943597448002
