pre,post,width
0,13,5
0,10,6
0,23,5
1,16,3
1,2,5
1,22,3
2,10,4
3,35,4
3,18,3
3,4,5
4,35,4
4,25,5
5,31,4
5,15,6
6,29,4
6,19,6
7,2,5
7,19,4
7,29,6
8,10,4
8,28,4
8,5,3
8,0,4
9,34,3
9,13,4
9,17,3
10,15,4
11,24,4
11,27,5
12,32,4
12,34,3
12,18,6
13,17,3
14,32,3
14,18,3
15,8,5
15,0,6
15,23,3
16,2,6
16,21,4
16,22,3
17,34,3
17,0,5
17,21,6
18,34,3
18,32,4
18,35,4
19,28,3
19,2,5
20,30,5
20,12,3
20,32,4
20,23,6
21,25,5
22,24,3
22,21,6
23,13,3
24,27,3
24,25,4
25,22,5
25,27,4
26,31,6
26,5,4
26,33,5
26,15,4
26,28,3
27,4,3
28,33,4
29,19,5
29,2,6
30,32,6
30,12,6
31,23,3
31,15,4
31,33,6
33,5,5
33,8,3
33,15,4
35,27,3
